,TaskID,arg_wts,train_split,train_round,total_timesteps_each_trace,gradient_steps,learning_rate,thre_for_fix_a,if_single_env,assigned_patient_id,total_used_num,if_start_state_restrict,start_state_id,if_meal_restrict,arg_total_r_thre,arg_generate_train_trace_num,total_test_trace_num,arg_min_cgm,log_interval,arg_total_trial_num,arg_reward_weight,arg_test_param,arg_exp_type,arg_ppo_train_time,arg_use_exist_trace,arg_exist_trace_id,arg_if_constrain_on_s,arg_thre_for_s,arg_s_index,arg_if_use_user_input,arg_user_input_action,exp_id
21,22.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,160.0,0.0,0.0,-99.0,1.0
22,23.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,160.0,0.0,0.0,-99.0,2.0
23,24.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,160.0,0.0,0.0,-99.0,3.0
24,25.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,160.0,0.0,0.0,-99.0,4.0
25,26.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,160.0,0.0,0.0,-99.0,5.0
26,27.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,160.0,0.0,0.0,-99.0,6.0
27,28.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,160.0,0.0,0.0,-99.0,7.0
28,29.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,-99.0,1.0
29,30.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,-99.0,2.0
30,31.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,-99.0,3.0
31,32.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,-99.0,4.0
32,33.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,-99.0,5.0
33,34.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,-99.0,6.0
34,35.0,1000.0,0.5,2000.0,1.0,50.0,1e-05,-1.0,1.0,7.0,36.0,0.0,0.0,0.0,20.0,1.0,10.0,65.0,5.0,1.0,-1.0,20.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0,0.0,-99.0,7.0
