TaskID	 arg_wts	 train_split	 train_round	 total_timesteps_each_trace	 gradient_steps	 learning_rate	 thre_for_fix_a	                if_single_env	 assigned_gravity	 total_used_num	 arg_generate_train_trace_num	 total_test_trace_num	 log_interval	 arg_total_trial_num	 arg_reward_weight	 arg_test_param	 arg_exp_type	 arg_ppo_train_time	 arg_use_exist_trace	 arg_exist_trace_id	 exp_id
49	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	49	
50	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	50	
51	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	51	
52	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	52	
53	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	53	
54	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	54	
55	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	55	
56	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	56	
57	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	57	
58	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	58	
59	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	59	
60	800	0.5	600	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	3	 -1.0	 20	1	5	0	0	60	
